             VARIABLE : Monthly Mean Air Temperature at sigma level 0.995 (degC)
             DATA SET : monthly mean air.sig995 from the NCEP Reanalysis
             FILENAME : air.sig995.mon.mean.nc
             FILEPATH : https://www.esrl.noaa.gov/psd/thredds/dodsC/Datasets/ncep.reanalysis.derived/surface/
             BAD FLAG : -1.E+34       
             SUBSET   : 342 points (TIME)
             LONGITUDE: 87.5E
             LATITUDE : 45N
         	87.5E
01-JAN-1990 00:00	-10.02355
01-FEB-1990 00:00	-7.250003
01-MAR-1990 00:00	0.440648
01-APR-1990 00:00	6.208331
01-MAY-1990 00:00	13.3071
01-JUN-1990 00:00	21.779
01-JUL-1990 00:00	20.26161
01-AUG-1990 00:00	20.9829
01-SEP-1990 00:00	14.911
01-OCT-1990 00:00	3.793223
01-NOV-1990 00:00	-3.239335
01-DEC-1990 00:00	-7.330648
01-JAN-1991 00:00	-7.726775
01-FEB-1991 00:00	-7.865715
01-MAR-1991 00:00	-1.468068
01-APR-1991 00:00	6.648002
01-MAY-1991 00:00	13.51807
01-JUN-1991 00:00	19.34367
01-JUL-1991 00:00	22.98807
01-AUG-1991 00:00	20.62967
01-SEP-1991 00:00	14.62034
01-OCT-1991 00:00	4.779677
01-NOV-1991 00:00	-2.357
01-DEC-1991 00:00	-8.10806
01-JAN-1992 00:00	-8.467417
01-FEB-1992 00:00	-6.485517
01-MAR-1992 00:00	-0.9367719
01-APR-1992 00:00	8.669335
01-MAY-1992 00:00	12.41581
01-JUN-1992 00:00	19.71234
01-JUL-1992 00:00	21.60967
01-AUG-1992 00:00	18.89065
01-SEP-1992 00:00	10.494
01-OCT-1992 00:00	2.716454
01-NOV-1992 00:00	-4.110667
01-DEC-1992 00:00	-6.663226
01-JAN-1993 00:00	-10.52387
01-FEB-1993 00:00	-4.708572
01-MAR-1993 00:00	0.3419377
01-APR-1993 00:00	5.97267
01-MAY-1993 00:00	10.78678
01-JUN-1993 00:00	18.66067
01-JUL-1993 00:00	20.2858
01-AUG-1993 00:00	19.00258
01-SEP-1993 00:00	13.28667
01-OCT-1993 00:00	3.232587
01-NOV-1993 00:00	-4.712003
01-DEC-1993 00:00	-9.527734
01-JAN-1994 00:00	-9.145158
01-FEB-1994 00:00	-8.503213
01-MAR-1994 00:00	-1.082585
01-APR-1994 00:00	6.407672
01-MAY-1994 00:00	13.41065
01-JUN-1994 00:00	18.77168
01-JUL-1994 00:00	22.39194
01-AUG-1994 00:00	20.64226
01-SEP-1994 00:00	12.00734
01-OCT-1994 00:00	2.478709
01-NOV-1994 00:00	1.52567
01-DEC-1994 00:00	-7.138065
01-JAN-1995 00:00	-12.43902
01-FEB-1995 00:00	-5.727503
01-MAR-1995 00:00	-1.027738
01-APR-1995 00:00	6.41567
01-MAY-1995 00:00	12.50839
01-JUN-1995 00:00	18.13901
01-JUL-1995 00:00	20.46871
01-AUG-1995 00:00	20.70838
01-SEP-1995 00:00	16.86734
01-OCT-1995 00:00	5.72258
01-NOV-1995 00:00	-1.272335
01-DEC-1995 00:00	-10.49129
01-JAN-1996 00:00	-12.84967
01-FEB-1996 00:00	-9.493443
01-MAR-1996 00:00	-3.251933
01-APR-1996 00:00	4.423333
01-MAY-1996 00:00	12.69162
01-JUN-1996 00:00	18.53834
01-JUL-1996 00:00	22.23806
01-AUG-1996 00:00	20.75516
01-SEP-1996 00:00	15.65233
01-OCT-1996 00:00	6.879038
01-NOV-1996 00:00	-3.053668
01-DEC-1996 00:00	-8.844194
01-JAN-1997 00:00	-9.10064
01-FEB-1997 00:00	-7.301786
01-MAR-1997 00:00	2.38613
01-APR-1997 00:00	10.47334
01-MAY-1997 00:00	15.7384
