             VARIABLE : Monthly Mean Air Temperature at sigma level 0.995 (degC)
             DATA SET : monthly mean air.sig995 from the NCEP Reanalysis
             FILENAME : air.sig995.mon.mean.nc
             FILEPATH : https://www.esrl.noaa.gov/psd/thredds/dodsC/Datasets/ncep.reanalysis.derived/surface/
             BAD FLAG : -1.E+34       
             SUBSET   : 342 points (TIME)
             LONGITUDE: 122.5W(-122.5)
             LATITUDE : 50S
         	122.5W 
01-JAN-1990 00:00	9.832585
01-FEB-1990 00:00	9.645003
01-MAR-1990 00:00	9.070001
01-APR-1990 00:00	8.856007
01-MAY-1990 00:00	7.257102
01-JUN-1990 00:00	5.746335
01-JUL-1990 00:00	5.482903
01-AUG-1990 00:00	5.661943
01-SEP-1990 00:00	5.852
01-OCT-1990 00:00	6.36323
01-NOV-1990 00:00	7.727666
01-DEC-1990 00:00	8.463875
01-JAN-1991 00:00	9.543878
01-FEB-1991 00:00	8.381787
01-MAR-1991 00:00	8.03807
01-APR-1991 00:00	7.383006
01-MAY-1991 00:00	7.03097
01-JUN-1991 00:00	6.843669
01-JUL-1991 00:00	6.326777
01-AUG-1991 00:00	6.612585
01-SEP-1991 00:00	5.352004
01-OCT-1991 00:00	7.027418
01-NOV-1991 00:00	7.861671
01-DEC-1991 00:00	9.865808
01-JAN-1992 00:00	9.671295
01-FEB-1992 00:00	9.698283
01-MAR-1992 00:00	9.390975
01-APR-1992 00:00	8.822003
01-MAY-1992 00:00	8.727743
01-JUN-1992 00:00	7.248003
01-JUL-1992 00:00	6.816132
01-AUG-1992 00:00	5.54129
01-SEP-1992 00:00	5.576668
01-OCT-1992 00:00	6.688391
01-NOV-1992 00:00	7.004333
01-DEC-1992 00:00	8.456134
01-JAN-1993 00:00	9.401294
01-FEB-1993 00:00	8.963572
01-MAR-1993 00:00	8.27
01-APR-1993 00:00	8.07534
01-MAY-1993 00:00	7.041291
01-JUN-1993 00:00	6.283671
01-JUL-1993 00:00	4.669681
01-AUG-1993 00:00	4.996774
01-SEP-1993 00:00	5.94267
01-OCT-1993 00:00	6.698386
01-NOV-1993 00:00	7.025336
01-DEC-1993 00:00	8.335486
01-JAN-1994 00:00	8.823876
01-FEB-1994 00:00	9.161789
01-MAR-1994 00:00	8.221293
01-APR-1994 00:00	8.275004
01-MAY-1994 00:00	7.310653
01-JUN-1994 00:00	6.482336
01-JUL-1994 00:00	5.825811
01-AUG-1994 00:00	5.683228
01-SEP-1994 00:00	5.940333
01-OCT-1994 00:00	6.973551
01-NOV-1994 00:00	7.868334
01-DEC-1994 00:00	8.872581
01-JAN-1995 00:00	10.11516
01-FEB-1995 00:00	9.470359
01-MAR-1995 00:00	9.139682
01-APR-1995 00:00	7.802005
01-MAY-1995 00:00	6.478391
01-JUN-1995 00:00	6.417338
01-JUL-1995 00:00	7.027421
01-AUG-1995 00:00	6.34581
01-SEP-1995 00:00	6.025334
01-OCT-1995 00:00	5.703225
01-NOV-1995 00:00	7.33767
01-DEC-1995 00:00	7.47355
01-JAN-1996 00:00	9.209357
01-FEB-1996 00:00	10.19069
01-MAR-1996 00:00	7.988387
01-APR-1996 00:00	7.153335
01-MAY-1996 00:00	6.433874
01-JUN-1996 00:00	5.647334
01-JUL-1996 00:00	5.524201
01-AUG-1996 00:00	5.330324
01-SEP-1996 00:00	5.615333
01-OCT-1996 00:00	5.867741
01-NOV-1996 00:00	6.856668
01-DEC-1996 00:00	8.282584
01-JAN-1997 00:00	8.922584
01-FEB-1997 00:00	9.636793
01-MAR-1997 00:00	8.411294
01-APR-1997 00:00	7.263005
01-MAY-1997 00:00	7.287102
01-JUN-1997 00:00	6.778342
01-JUL-1997 00:00	5.41484
01-AUG-1997 00:00	5.197747
01-SEP-1997 00:00	6.442338
01-OCT-1997 00:00	6.930327
01-NOV-1997 00:00	8.089004
01-DEC-1997 00:00	9.117751
01-JAN-1998 00:00	10.34581
01-FEB-1998 00:00	9.912505
01-MAR-1998 00:00	9.262262
