year,president,senate,house
1861,Lincoln,R,R
1862,Lincoln,R,R
1863,Lincoln,R,R
1864,Lincoln,R,R
1865,A. Johnson,R,R
1866,A. Johnson,R,R
1867,A. Johnson,R,R
1868,A. Johnson,R,R
1869,Grant,R,R
1870,Grant,R,R
1871,Grant,R,R
1872,Grant,R,R
1873,Grant,R,R
1874,Grant,R,R
1875,Grant,R,D
1876,Grant,R,D
1877,Hayes,R,D
1878,Hayes,R,D
1879,Hayes,D,D
1880,Hayes,D,D
1881,Garfield / Arthur,R,R
1882,Garfield / Arthur,R,R
1883,Arthur,R,D
1884,Arthur,R,D
1885,Cleveland,R,D
1886,Cleveland,R,D
1887,Cleveland,R,D
1888,Cleveland,R,D
1889,Harrison,R,R
1890,Harrison,R,R
1891,Harrison,R,D
1892,Harrison,R,D
1893,Cleveland,D,D
1894,Cleveland,D,D
1895,Cleveland,R,R
1896,Cleveland,R,R
1897,McKinley,R,R
1898,McKinley,R,R
1899,McKinley,R,R
1900,McKinley,R,R
1901,McKinley / T. Roosevelt,R,R
1902,McKinley / T. Roosevelt,R,R
1903,T. Roosevelt,R,R
1904,T. Roosevelt,R,R
1905,T. Roosevelt,R,R
1906,T. Roosevelt,R,R
1907,T. Roosevelt,R,R
1908,T. Roosevelt,R,R
1909,Taft,R,R
1910,Taft,R,R
1911,Taft,R,D
1912,Taft,R,D
1913,Wilson,D,D
1914,Wilson,D,D
1915,Wilson,D,D
1916,Wilson,D,D
1917,Wilson,D,D
1918,Wilson,D,D
1919,Wilson,R,R
1920,Wilson,R,R
1921,Harding,R,R
1922,Harding,R,R
1923,Harding / Coolidge,R,R
1924,Harding / Coolidge,R,R
1925,Coolidge,R,R
1926,Coolidge,R,R
1927,Coolidge,R,R
1928,Coolidge,R,R
1929,Hoover,R,R
1930,Hoover,R,R
1931,Hoover,R,D
1932,Hoover,R,D
1933,F. Roosevelt,D,D
1934,F. Roosevelt,D,D
1935,F. Roosevelt,D,D
1936,F. Roosevelt,D,D
1937,F. Roosevelt,D,D
1938,F. Roosevelt,D,D
1939,F. Roosevelt,D,D
1940,F. Roosevelt,D,D
1941,F. Roosevelt,D,D
1942,F. Roosevelt,D,D
1943,F. Roosevelt,D,D
1944,F. Roosevelt,D,D
1945,F. Roosevelt / Truman,D,D
1946,F. Roosevelt / Truman,D,D
1947,Truman,R,R
1948,Truman,R,R
1949,Truman,D,D
1950,Truman,D,D
1951,Truman,D,D
1952,Truman,D,D
1953,Eisenhower,R,R
1954,Eisenhower,R,R
1955,Eisenhower,D,D
1956,Eisenhower,D,D
1957,Eisenhower,D,D
1958,Eisenhower,D,D
1959,Eisenhower,D,D
1960,Eisenhower,D,D
1961,Kennedy,D,D
1962,Kennedy,D,D
1963,Kennedy / Johnson,D,D
1964,Kennedy / Johnson,D,D
1965,Johnson,D,D
1966,Johnson,D,D
1967,Johnson,D,D
1968,Johnson,D,D
1969,Nixon,D,D
1970,Nixon,D,D
1971,Nixon,D,D
1972,Nixon,D,D
1973,Nixon / Ford,D,D
1974,Nixon / Ford,D,D
1975,Ford,D,D
1976,Ford,D,D
1977,Carter,D,D
1978,Carter,D,D
1979,Carter,D,D
1980,Carter,D,D
1981,Reagan,R,D
1982,Reagan,R,D
1983,Reagan,R,D
1984,Reagan,R,D
1985,Reagan,R,D
1986,Reagan,R,D
1987,Reagan,D,D
1988,Reagan,D,D
1989,G.H.W. Bush,D,D
1990,G.H.W. Bush,D,D
1991,G.H.W. Bush,D,D
1992,G.H.W. Bush,D,D
1993,Clinton,D,D
1994,Clinton,D,D
1995,Clinton,R,R
1996,Clinton,R,R
1997,Clinton,R,R
1998,Clinton,R,R
1999,Clinton,R,R
2000,Clinton,R,R
2001,G.W. Bush,D*,R
2002,G.W. Bush,D*,R
2003,G.W. Bush,R,R
2004,G.W. Bush,R,R
2005,G.W. Bush,R,R
2006,G.W. Bush,R,R
2007,G.W. Bush,D,D
2008,G.W. Bush,D,D
2009,Obama,D,D
2010,Obama,D,D
2011,Obama,D,R
2012,Obama,D,R
2013,Obama,D,R
2014,Obama,D,R
2015,Obama,R,R
2016,Obama,R,R
2017,Trump,R,R
2018,Trump,R,R
2019,Trump,R,D
2020,Trump,R,D
2021,Biden,D**,D
2022,Biden,D**,D
